address,geometry
"15919 W. 10 MILE, SOUTHFIELD, MI","[-83.2062162, 42.4735035]"
"29101 GREENFIELD, SOUTHFIELD, MI","[-83.20345429999999, 42.5040342]"
"500 N. RIVERSIDE AVE., ST.CLAIR, MI","[-82.4843709, 42.8278429]"
"1701 SINCLAIR STREET, ST. CLAIR, MI","[-82.506829, 42.8185178]"
"29103 HARPER, ST. CLAIR SHORES, MI","[-82.89852570000001, 42.508168]"
"900 W. MAPLE, TROY, MI","[-83.1597075, 42.5489999]"
"3385 ROCHESTER ROAD, TROY, MI","[-83.12852269999999, 42.5690336]"
"1650 W. MAPLE, TROY, MI","[-83.1699666, 42.5483541]"
"1800 THUNDERBIRD, TROY, MI","[-83.1532582, 42.5515884]"
"750 WEST MAPLE ROAD, TROY, MI","[-83.1573624, 42.5494698]"
"5383 ROCHESTER, TROY, MI","[-83.1297586, 42.5978576]"
"1750 ABBOTSFORD, TROY, MI","[-83.11654999999999, 42.601437]"
"5164 ROCHESTER ROAD, TROY, MI","[-83.1286343, 42.5946274]"
"6505 AUBURN ROAD, UTICA, MI","[-83.0454092, 42.6279489]"
"20819 SCHOENHERR RD, WARREN, MI","[-82.98614909999999, 42.4505322]"
"24201 HOOVER ROAD, WARREN, MI","[-83.00663589999999, 42.4727882]"
"22522 HOOVER, WARREN, MI","[-83.0039915, 42.4602934]"
"11570 E. 11 MILE ROAD, WARREN, MI","[-83.0080211, 42.491081]"
"11203 EIGHT MILE, WARREN, MI","[-83.01234339999999, 42.4488025]"
"24151 HOOVER ROAD, WARREN, MI","[-83.0068038, 42.4725694]"
"24060 HOOVER ROAD, WARREN, MI","[-83.0047471, 42.471871]"
"3300 8 MILE, DETROIT, MI","[-83.1519814, 42.446545]"
"24333 RYAN, WARREN, MI","[-83.0671777, 42.47200369999999]"
"5703 E. EIGHT MILE ROAD, WARREN, MI","[-83.04631119999999, 42.4481865]"
"23200 RYAN ROAD, WARREN, MI","[-83.063655, 42.464306]"
"2929 JOHN B AVENUE, WARREN, MI","[-83.07430649999999, 42.4497498]"
"23110 SHERWOOD AVE., WARREN, MI","[-83.034837, 42.46381640000001]"
"2005 E. 8 MILE, WARREN, MI","[-83.0814338, 42.4480846]"
"2333 SHERWOOD AVE., WARREN, MI","[-83.0357677, 42.4687715]"
"27700 MOUND ROAD, WARREN, MI","[-83.0453253, 42.49743720000001]"
"30500 VAN DYKE, WARREN, MI","[-83.0278298, 42.5179304]"
"27900 HOOVER ROAD, WARREN, MI","[-83.0054876, 42.4987868]"
"32035 VANDYKE AVE, WARREN, MI","[-83.0301281, 42.529829]"
"60688 VAN DYKE, WASHINGTON, MI","[-83.0305346, 42.7406721]"
"11570 JEDDO ROAD, YALE, MI","[-82.80211229999999, 43.1449553]"
"35 RESEARCH DR, ANN ARBOR, MI","[-83.74717969999999, 42.29767]"
"116 W. JEFFERSON ST., ANN ARBOR, MI","[-83.74964840000001, 42.276386]"
"734 GOTT, ANN ARBOR, MI","[-83.75672209999999, 42.2885269]"
"2167 MEDFORD RD.,, ANN ARBOR, MI","[-83.7117095, 42.2571868]"
"318 S. ASHLEY, ANN ARBOR, MI","[-83.75014630000001, 42.2789447]"
"818 HENRY, ANN ARBOR, MI","[-83.7378641, 42.26128]"
"584 MAIN ST., BELLEVILLE, MI","[-83.49286780000001, 42.21015360000001]"
"2025 RAWSONVILLE RD, BELLEVILLE, MI","[-83.54243439999999, 42.2173747]"
"810 E. GRAND RIVER AVE. SUITE I, BRIGHTON, MI","[-83.7751986, 42.5241394]"
"7290 KENSINGTON ROAD, BRIGHTON, MI","[-83.689853, 42.4985355]"
"301 SECOND STREET, BRIGHTON, MI","[-83.78666009999999, 42.53145929999999]"
"14250 ROMAINE, CARLETON, MI","[-83.3611991, 42.0839186]"
"106 MIDDLE STREET, CHELSEA, MI","[-84.0208141, 42.3178615]"
"2411 W. GRAND BOULEVARD, DETROIT, MI","[-83.096459, 42.3621089]"
"3600 OAKWOOD BOULEVARD, MELVINDALE, MI","[-83.1832305, 42.2812865]"
"13001 MICHIGAN AVE, DEARBORN, MI","[-83.1702178, 42.323518]"
"20738  CARLYSLE, DEARBORN, MI","[-83.24104450000002, 42.2843689]"
"2659 HARDING, DETROIT, MI","[-82.9820551, 42.3709497]"
"5104-5120 OAKMAN, DEARBORN, MI","[-83.16829179999999, 42.3252414]"
"3636 BYRD, DEARBRON, MI","[-83.228522, 42.284477]"
"25245 FORD ROAD, DEARBORN, MI","[-83.28563869999999, 42.3265407]"
"26811 FORD ROAD, DEARBORN HEIGHTS, MI","[-83.3043986, 42.3259242]"
"26615 FORD ROAD, DEARBORN HEIGHTS, MI","[-83.30205869999999, 42.325864]"
"6425 TELEGRAPH ROAD, DEARBORN HEIGHTS, MI","[-83.273534, 42.3345521]"
"24921 FORD RD, DEARBORN, MI","[-83.2816016, 42.3264854]"
"8350 N TERRITORIAL ROAD, DEXTER, MI","[-83.9005219, 42.3861937]"
"27050 TELEGRAPH ROAD, FLAT ROCK, MI","[-83.2860948, 42.108627]"
"6332 MIDDLEBELT, GARDEN CITY, MI","[-83.33071679999999, 42.3325147]"
"FEATHERLY DRIVE, HAMBURG, MI","[-83.80417179999999, 42.44778669999999]"
"10025 INDUSTRIAL DRIVE, HAMBURG, MI","[-83.792553, 42.454696]"
"26229 MICHIGAN AVE, INKSTER, MI","[-83.29580419999999, 42.2949414]"
"2226 AND 2228 INKSTER RD., INKSTER, MI","[-83.310513, 42.294767]"
"16736 ECORSE ROAD, ALLEN PARK, MI","[-83.2188946, 42.2569334]"
"28900 SCHOOLCRAFT, LIVONIA, MI","[-83.3276678, 42.384434]"
"13520 MERRIMAN RD, LIVONIA, MI","[-83.349756, 42.380578]"
"19470 HAGGERTY RD, LIVONIA, MI","[-83.4324209, 42.4278926]"
"16200 NEWBURGH RD., LIVONIA, MI","[-83.4111503, 42.4045678]"
"1255 MILAN OAKVILLE ROAD, MILAN, MI","[-83.66188199999999, 42.0848609]"
"40 S. MONROE, MONROE, MI","[-83.3980716, 41.9162229]"
"1011 S. MONROE, MONROE, MI","[-83.4053935, 41.9062787]"
"15488 EASTWOOD, MONROE, MI","[-83.41707939999999, 41.9030476]"
"7051 N. MONROE STREET, MONROE, MI","[-83.373221, 41.9799275]"
"7015 N. MONROE STREET, MONROE, MI","[-83.37363839999999, 41.9794889]"
"19600 WALTZ RD., HURON TOWNSHIP, MI","[-83.40345459999999, 42.1612069]"
"54250 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.5864407, 42.5062348]"
"53000 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.5747087, 42.50397359999999]"
"5475 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.8440864, 42.5773472]"
