agency facility id,pollutant type(s),pollutant type(s)
AIRPORTY93,HAP,32
AIRPORTY94,HAP,32
AIRPORTY95,HAP,32
AIRPORTY96,HAP,32
AIRPORTY98,HAP,32
AIRPORTYIP,HAP,34
AIRPORTZ92,HAP,32
AIRPORTZ98,HAP,32
B0070,HAP,32
B0785,HAP,32
B1470,HAP,34
B1471,HAP,28
B1476,HAP,68
B1477,HAP,39
B1479,HAP,11
B1485,HAP,37
B1486,HAP,23
B1493,HAP,32
B1523,HAP,1
B1526,HAP,32
B1534,HAP,37
B1537,HAP,32
B1548,HAP,36
B1559,HAP,30
B1577,HAP,14
B1597,HAP,51
B1604,HAP,32
B1606,HAP,42
B1607,HAP,11
B1608,HAP,11
B1620,HAP,37
B1633,HAP,33
B1646,HAP,34
B1652,HAP,1
B1657,HAP,17
B1659,HAP,1
B1677,HAP,35
B1678,HAP,34
B1686,HAP,1
B1709,HAP,1
B1713,HAP,32
B1716,HAP,5
B1737,HAP,2
B1739,HAP,37
B1754,HAP,1
B1771,HAP,36
B1792,HAP,43
B1798,HAP,38
B1801,HAP,34
B1824,HAP,34
B1827,HAP,32
B1833,HAP,70
B1846,HAP,25
B1851,HAP,32
B1855,HAP,38
B1877,HAP,14
B1889,HAP,10
B1891,HAP,10
B1893,HAP,32
B1909,HAP,15
B1912,HAP,34
B1925,HAP,39
B1945,HAP,32
B1950,HAP,10
B1956,HAP,38
B1960,HAP,38
B1961,HAP,6
B1966,HAP,70
B1976,HAP,75
B1986,HAP,34
B1989,HAP,2
B1991,HAP,25
B2013,HAP,36
B2014,HAP,32
B2015,HAP,1
B2024,HAP,34
B2025,HAP,2
B2032,HAP,32
B2050,HAP,35
B2063,HAP,59
B2064,HAP,52
B2103,HAP,32
B2132,HAP,36
B2155,HAP,22
B2158,HAP,32
B2169,HAP,2
B2174,HAP,34
B2178,HAP,13
B2209,HAP,24
B2217,HAP,34
B2329,HAP,40
B2331,HAP,32
B2357,HAP,73
B2359,HAP,32
B2363,HAP,1
B2429,HAP,36
B2460,HAP,32
B2561,HAP,35
B2589,HAP,35
B2644,HAP,40
B2647,HAP,72
B2751,HAP,32
B2757,HAP,8
B2763,HAP,38
B2767,HAP,41
B2793,HAP,3
B2795,HAP,22
B2796,HAP,76
B2798,HAP,20
B2802,HAP,22
B2803,HAP,22
B2804,HAP,22
B2805,HAP,20
B2806,HAP,33
B2807,HAP,22
B2808,HAP,36
B2810,HAP,74
B2811,HAP,74
B2814,HAP,32
B2816,HAP,74
B2817,HAP,33
B2835,HAP,75
B2838,HAP,32
B2840,HAP,77
B2866,HAP,4
B2869,HAP,40
B2873,HAP,34
B2875,HAP,32
B2876,HAP,32
B2881,HAP,1
B2918,HAP,20
B2919,HAP,20
B2926,HAP,2
B2927,HAP,5
B2934,HAP,32
B2942,HAP,32
B2952,HAP,34
B2956,HAP,24
B2992,HAP,38
B3000,HAP,4
B3012,HAP,32
B3037,HAP,33
B3120,HAP,38
B3195,HAP,38
B3241,HAP,36
B3291,HAP,34
B3315,HAP,1
B3350,HAP,36
B3472,HAP,33
B3518,HAP,9
B3533,HAP,1
B3534,HAP,24
B3567,HAP,4
B3610,HAP,51
B3692,HAP,72
B3721,HAP,59
B4001,HAP,74
B4032,HAP,37
B4045,HAP,33
B4049,HAP,36
B4058,HAP,24
B4072,HAP,36
B4102,HAP,24
B4131,HAP,32
B4134,HAP,34
B4137,HAP,38
B4138,HAP,38
B4147,HAP,41
B4164,HAP,41
B4167,HAP,38
B4197,HAP,32
B4238,HAP,32
B4243,HAP,1
B4252,HAP,31
B4260,HAP,64
B4261,HAP,70
B4265,HAP,34
B4266,HAP,11
B4280,HAP,38
B4282,HAP,20
B4287,HAP,38
B4288,HAP,37
B4292,HAP,20
B4302,HAP,34
B4303,HAP,8
B4306,HAP,35
B4311,HAP,32
B4321,HAP,33
B4359,HAP,45
B4364,HAP,1
B4380,HAP,1
B4383,HAP,24
B4395,HAP,32
B4538,HAP,2
B4569,HAP,32
B4752,HAP,32
B4885,HAP,32
B4925,HAP,32
B4942,HAP,33
B4977,HAP,32
B5022,HAP,1
B5162,HAP,32
B5215,HAP,9
B5417,HAP,34
B5421,HAP,32
B5453,HAP,32
B5462,HAP,44
B5552,HAP,1
B5579,HAP,35
B5584,HAP,24
B5587,HAP,24
B5588,HAP,24
B5589,HAP,1
B5627,HAP,6
B5635,HAP,1
B5642,HAP,1
B5667,HAP,24
B5668,HAP,24
B5777,HAP,2
B5779,HAP,4
B5817,HAP,37
B5823,HAP,38
B5830,HAP,33
B5838,HAP,37
B5853,HAP,34
B5854,HAP,2
B5918,HAP,4
B5921,HAP,34
B5966,HAP,34
B6001,HAP,36
B6010,HAP,1
B6013,HAP,24
B6027,HAP,36
B6037,HAP,9
B6106,HAP,11
B6107,HAP,11
B6145,HAP,44
B6175,HAP,2
B6177,HAP,24
B6178,HAP,32
B6179,HAP,35
B6202,HAP,6
B6213,HAP,1
B6220,HAP,4
B6227,HAP,32
B6230,HAP,24
B6237,HAP,47
B6420,HAP,35
B6455,HAP,1
B6478,HAP,53
B6480,HAP,41
B6481,HAP,12
B6497,HAP,24
B6501,HAP,1
B6508,HAP,24
B6519,HAP,36
B6527,HAP,39
B6528,HAP,18
B6553,HAP,14
B6569,HAP,33
B6601,HAP,32
B6608,HAP,32
B6611,HAP,68
B6614,HAP,5
B6619,HAP,33
B6620,HAP,64
B6625,HAP,2
B6633,HAP,32
B6636,HAP,59
B6637,HAP,59
B6643,HAP,2
B6646,HAP,6
B6660,HAP,3
B6712,HAP,1
B6828,HAP,5
B7013,HAP,1
B7018,HAP,1
B7037,HAP,1
B7038,HAP,32
B7061,HAP,12
B7068,HAP,34
B7085,HAP,1
B7090,HAP,34
B7093,HAP,24
B7099,HAP,28
B7110,HAP,9
B7117,HAP,1
B7192,HAP,61
B7196,HAP,41
B7197,HAP,41
B7198,HAP,59
B7205,HAP,29
B7219,HAP,45
B7220,HAP,59
B7221,HAP,46
B7222,HAP,24
B7227,HAP,43
B7244,HAP,32
B7248,HAP,42
B7276,HAP,32
B7287,HAP,11
B7288,HAP,1
B7294,HAP,2
B7300,HAP,38
B7302,HAP,40
B7356,HAP,3
B7357,HAP,1
B7390,HAP,45
B7529,HAP,11
B7536,HAP,11
B7561,HAP,24
B7711,HAP,7
B7778,HAP,1
B7870,HAP,5
B7977,HAP,7
B8337,HAP,45
B8570,HAP,32
B8573,HAP,54
B8574,HAP,34
B8603,HAP,62
B8606,HAP,1
B8704,HAP,32
B8723,HAP,9
B8747,HAP,12
B8786,HAP,9
B8851,HAP,11
B8860,HAP,2
B8863,HAP,32
B9036,HAP,1
B9050,HAP,1
B9052,HAP,1
B9072,HAP,26
B9073,HAP,9
B9074,HAP,9
B9080,HAP,32
B9081,HAP,1
B9132,HAP,5
B9135,HAP,24
B9136,HAP,24
B9137,HAP,24
B9139,HAP,1
B9142,HAP,24
B9144,HAP,24
B9149,HAP,24
B9151,HAP,40
B9152,HAP,24
B9160,HAP,24
B9161,HAP,24
B9164,HAP,24
B9165,HAP,24
B9169,HAP,24
B9181,HAP,2
B9201,HAP,9
C5704,HAP,33
C5728,HAP,32
C6230,HAP,11
D3598,HAP,37
D6394,HAP,36
D8065,HAP,54
E2842,HAP,11
E4437,HAP,37
E4569,HAP,37
E5094,HAP,35
E6807,HAP,35
F3254,HAP,40
G5066,HAP,39
G5067,HAP,37
G5252,HAP,34
G7126,HAP,38
H2781,HAP,1
H5877,HAP,39
H6092,HAP,9
J4912,HAP,36
K1260,HAP,36
K1271,HAP,37
K1276,HAP,36
K1283,HAP,32
K2087,HAP,35
K2120,HAP,35
K2131,HAP,41
K2153,HAP,35
K2155,HAP,46
K2460,HAP,77
K2688,HAP,35
K2729,HAP,35
K3249,HAP,52
K5375,HAP,32
K5392,HAP,11
K5497,HAP,11
M0037,HAP,32
M0239,HAP,52
M0675,HAP,43
M0705,HAP,2
M1812,HAP,35
M1952,HAP,32
M1954,HAP,32
M1967,HAP,35
M1968,HAP,34
M2032,HAP,35
M2973,HAP,2
M3431,HAP,35
M3546,HAP,41
M3554,HAP,2
M3641,HAP,38
M3653,HAP,36
M3654,HAP,1
M3716,HAP,1
M3733,HAP,15
M3792,HAP,32
M3912,HAP,32
M4008,HAP,2
M4085,HAP,1
M4086,HAP,32
M4132,HAP,10
M4148,HAP,17
M4153,HAP,32
M4174,HAP,42
M4175,HAP,36
M4199,HAP,41
M4204,HAP,32
M4210,HAP,40
M4232,HAP,36
M4347,HAP,33
M4492,HAP,2
M4545,HAP,26
M4547,HAP,32
M4731,HAP,24
M4732,HAP,32
M4734,HAP,10
M4752,HAP,36
M4764,HAP,32
M4768,HAP,32
M4772,HAP,32
M4773,HAP,32
M4774,HAP,32
M4777,HAP,6
M4780,HAP,7
M4782,HAP,8
M4793,HAP,6
M4803,HAP,12
M4833,HAP,32
M4836,HAP,2
M4845,HAP,11
M4854,HAP,21
N0034,HAP,1
N0081,HAP,1
N0139,HAP,38
N0199,HAP,24
N0200,HAP,24
N0436,HAP,37
N0503,HAP,24
N0544,HAP,2
N0547,HAP,32
N0579,HAP,37
N0598,HAP,1
N0677,HAP,34
N0731,HAP,32
N0758,HAP,37
N0770,HAP,1
N0780,HAP,35
N0795,HAP,2
N0802,HAP,2
N0824,HAP,1
N0830,HAP,4
N0842,HAP,38
N0879,HAP,1
N0890,HAP,65
N0895,HAP,9
N0923,HAP,37
N0929,HAP,33
N0934,HAP,3
N0950,HAP,6
N0989,HAP,37
N0991,HAP,1
N1014,HAP,5
N1060,HAP,4
N1099,HAP,57
N1160,HAP,59
N1192,HAP,40
N1216,HAP,2
N1229,HAP,1
N1237,HAP,35
N1266,HAP,64
N1271,HAP,1
N1315,HAP,36
N1316,HAP,49
N1328,HAP,4
N1336,HAP,32
N1355,HAP,40
N1357,HAP,41
N1384,HAP,34
N1395,HAP,64
N1397,HAP,24
N1430,HAP,14
N1436,HAP,39
N1461,HAP,32
N1470,HAP,3
N1536,HAP,32
N1580,HAP,51
N1581,HAP,32
N1604,HAP,36
N1622,HAP,32
N1643,HAP,35
N1651,HAP,5
N1652,HAP,3
N1656,HAP,42
N1685,HAP,45
N1701,HAP,32
N1749,HAP,5
N1757,HAP,32
N1761,HAP,38
N1781,HAP,36
N1784,HAP,39
N1794,HAP,32
N1836,HAP,24
N1862,HAP,3
N1863,HAP,8
N1864,HAP,2
N1888,HAP,16
N1905,HAP,41
N1912,HAP,12
N1916,HAP,1
N1917,HAP,24
N1966,HAP,33
N1975,HAP,1
N2003,HAP,7
N2038,HAP,1
N2079,HAP,11
N2090,HAP,2
N2096,HAP,24
N2107,HAP,1
N2121,HAP,3
N2128,HAP,3
N2137,HAP,5
N2148,HAP,5
N2155,HAP,42
N2168,HAP,35
N2184,HAP,41
N2198,HAP,5
N2206,HAP,28
N2239,HAP,1
N2352,HAP,9
N2354,HAP,1
N2362,HAP,1
N2383,HAP,2
N2384,HAP,1
N2388,HAP,68
N2430,HAP,3
N2432,HAP,34
N2440,HAP,1
N2454,HAP,62
N2455,HAP,24
N2503,HAP,4
N2525,HAP,4
N2575,HAP,1
N2586,HAP,37
N2614,HAP,33
N2626,HAP,51
N2627,HAP,24
N2680,HAP,38
N2812,HAP,5
N2901,HAP,54
N2908,HAP,8
N2915,HAP,57
N2940,HAP,35
N2950,HAP,11
N2954,HAP,39
N2955,HAP,35
N2999,HAP,2
N3022,HAP,58
N3078,HAP,1
N3111,HAP,3
N3152,HAP,24
N3177,HAP,24
N3188,HAP,24
N3195,HAP,11
N3205,HAP,5
N3206,HAP,5
N3225,HAP,32
N3246,HAP,32
N3254,HAP,9
N3267,HAP,1
N3341,HAP,44
N3391,HAP,32
N3392,HAP,41
N3396,HAP,24
N3417,HAP,35
N3422,HAP,41
N3435,HAP,24
N3517,HAP,11
N3519,HAP,28
N3570,HAP,66
N3626,HAP,24
N3631,HAP,25
N3655,HAP,36
N3687,HAP,1
N3747,HAP,5
N3748,HAP,1
N3751,HAP,1
N3758,HAP,35
N3759,HAP,35
N3760,HAP,35
N3818,HAP,22
N3920,HAP,48
N3929,HAP,32
N3987,HAP,36
N4975,HAP,38
N5044,HAP,5
N5056,HAP,37
N5061,HAP,2
N5101,HAP,1
N5109,HAP,1
N5131,HAP,24
N5183,HAP,11
N5226,HAP,32
N5240,HAP,1
N5241,HAP,24
N5286,HAP,2
N5296,HAP,1
N5354,HAP,46
N5403,HAP,51
N5429,HAP,1
N5455,HAP,1
N5460,HAP,38
N5466,HAP,34
N5477,HAP,24
N5490,HAP,23
N5505,HAP,11
N5535,HAP,6
N5541,HAP,1
N5545,HAP,9
N5572,HAP,57
N5573,HAP,59
N5574,HAP,52
N5575,HAP,58
N5576,HAP,20
