id,name,address,city,zip_code,county,full_address
U822100055,APARTMENT BUILDING,130 SPRUCE,WYANDOTTE,48192,48192,"130 SPRUCE, WYANDOTTE, MI"
U822000003,FORMER WYANDOTTE POST OFFICE,166 OAK ST.,WYANDOTTE,48192,WAYNE,"166 OAK ST., WYANDOTTE, MI"
U822103219,VACANT COMMERCIAL PROPERTY,12860 SIBLY,RIVERVIEW,48193,WAYNE,"12860 SIBLY, RIVERVIEW, MI"
U821805784,DOWNRIVER CONEY ISLAND,13760 EUREKA ROAD,SOUTHGATE,48195,WAYNE,"13760 EUREKA ROAD, SOUTHGATE, MI"
U821701106,MORAN AUTOMOTIVE SERVICE CENTER,15800 EUREKA ROAD,SOUTHGATE,48195,WAYNE,"15800 EUREKA ROAD, SOUTHGATE, MI"
U821910201,OLD GAS STATION,15025 DIX TOLEDO RD,SOUTHGATE,48195,WAYNE,"15025 DIX TOLEDO RD, SOUTHGATE, MI"
U821905094,COMMERCIAL BUILDING,23600-23750 EUREKA ROAD,TAYLOR,48195,WAYNE,"23600-23750 EUREKA ROAD, TAYLOR, MI"
U581706430,CARLETON IRON & METALS,116 PINE STREET,CARLETON,48197,MONROE,"116 PINE STREET, CARLETON, MI"
U811810208,THURSTON ELEMENTARY,181 OREGON,YPSILANTI,48197,WASHTENAW,"181 OREGON, YPSILANTI, MI"
U811606419,VACANT RESIDENCE,530 FIRST AVE.,YPSILANTI,48197,WASHTENAW,"530 FIRST AVE., YPSILANTI, MI"
U811706525,A-1 AUTO SALVAGE & SCRAP,2574 STATE STREET,YPSILANTI,48198,WASHTENAW,"2574 STATE STREET, YPSILANTI, MI"
U811513295,BURGER KING,823 EAST MICHIGAN,YPSILANTI,48198,WASHTENAW,"823 EAST MICHIGAN, YPSILANTI, MI"
U811510952,VACANT STRUCTURE,2215 HARMON AVE,YPSILANTI,48198,WASHTENAW,"2215 HARMON AVE, YPSILANTI, MI"
U821700029,APARTMENT BUILDING,2933 2ND AVENUE,DETROIT,48201,WAYNE,"2933 2ND AVENUE, DETROIT, MI"
U821803612,THE MASONIC TEMPLE,500 TEMPLE AVE,DETROIT,48201,WAYNE,"500 TEMPLE AVE, DETROIT, MI"
U822003560,WAYNE COURT APARTMENTS,3525 CASS AVENUE,DETROIT,48201,WAYNE,"3525 CASS AVENUE, DETROIT, MI"
U821801431,APARTMENT BUILDING,741 SEWARD,DETROIT,48202,WAYNE,"741 SEWARD, DETROIT, MI"
U822000579,APARTMENT BUILDING,456 HARPER,DETROIT,48202,WAYNE,"456 HARPER, DETROIT, MI"
U821902747,COMMERCIAL,31 WOODLAND ST,DETROIT,48202,WAYNE,"31 WOODLAND ST, DETROIT, MI"
